rank,label,sample_count,selected,tier,super_category
1,泊泉雅,109611,True,head,Chăm sóc da mặt
2,Shiseido/资生堂,92158,False,,Chăm sóc da mặt
3,PECHOIN/百雀羚,60342,False,,Chăm sóc da mặt
4,Lancome/兰蔻,56331,False,,Chăm sóc da mặt
5,梵贞,51246,False,,Chăm sóc da mặt
6,一枝春,40384,False,,Chăm sóc da mặt
7,Cosme Decorte/黛珂,39334,False,,Chăm sóc da mặt
8,Clarins/娇韵诗,39328,False,,Chăm sóc da mặt
9,SK-II,36911,False,,Chăm sóc da mặt
10,手饰,27045,False,,Trang sức
11,Clinique/倩碧,24135,False,,Chăm sóc da mặt
12,CPB/肌肤之钥,23844,False,,Chăm sóc da mặt
13,耳饰,22252,False,,Trang sức
14,莱蔻,21639,False,,Chăm sóc da mặt
15,CHANDO/自然堂,20526,False,,Chăm sóc da mặt
16,A.H.C/爱和纯,19886,False,,Chăm sóc da mặt
17,Curel/珂润,19498,False,,Chăm sóc da mặt
18,innisfree/悦诗风吟,19149,False,,Chăm sóc da mặt
19,Olay/玉兰油,18095,False,,Chăm sóc da mặt
20,Freeplus/芙丽芳丝,15876,False,,Chăm sóc da mặt
21,玖美堂,15485,False,,Chăm sóc da mặt
22,Avon/雅芳,15113,False,,Chăm sóc da mặt
23,Herborist/佰草集,13626,False,,Chăm sóc da mặt
24,美肤宝,13079,False,,Chăm sóc da mặt
25,Dior/迪奥,11730,False,,Chăm sóc da mặt
26,ROLANJONA/露兰姬娜,11003,False,,Chăm sóc da mặt
27,同仁堂,10907,False,,Sức khỏe & thiết bị y tế
28,帆布鞋,10194,True,head,Giày nữ
29,Biotherm/碧欧泉,9942,False,,Chăm sóc da mặt
30,CEMOY（美妆）,9495,False,,Chăm sóc da mặt
31,皮衣,9137,False,,Áo khoác & trang phục giữ ấm
32,CAUDALIE/欧缇丽,9135,False,,Chăm sóc da mặt
33,羽绒服,8919,False,,Áo khoác & trang phục giữ ấm
34,WETCODE/水密码,8737,False,,Chăm sóc da mặt
35,风衣,8268,False,,Áo khoác & trang phục giữ ấm
36,WETHERM/温碧泉,8198,False,,Chăm sóc da mặt
37,相宜本草,8180,False,,Chăm sóc da mặt
38,佰珍堂,8035,True,medium,Chăm sóc da mặt
39,职业女裤套装,7934,False,,Áo nữ
40,大宝,7918,False,,Chăm sóc da mặt
41,日韩腕表,7880,False,,Đồng hồ
42,eaoron,7676,False,,Chăm sóc da mặt
43,洗发水,7404,True,head,Chăm sóc tóc
44,皮艺床,7291,False,,Nội thất phòng ngủ
45,时装靴,7274,False,,Giày nữ
46,校服/校服定制,7244,False,,Đồng phục & trang phục biểu diễn
47,皮艺沙发,7208,False,,Nội thất phòng khách
48,湿巾,7016,True,head,Dụng cụ vệ sinh nhà cửa
49,挂钟,6853,False,,Đồng hồ
50,汉服,6652,False,,Áo nữ
51,餐椅,6619,False,,Nội thất phòng ăn
52,职业女裙套装,6580,False,,Áo nữ
53,欧美腕表,6493,False,,Đồng hồ
