sieu_danh_muc_tieng_viet,so_nhan,tong_sample_count
Chăm sóc da mặt,303,1013125
Trang điểm,34,76779
Nước hoa & hương thơm,23,27624
Chăm sóc tóc,28,39134
Chăm sóc cơ thể,25,42727
Chăm sóc răng miệng,19,25420
Mỹ phẩm dụng cụ & phụ kiện,9,20386
Sức khỏe & thiết bị y tế,55,58856
Kính mắt & kính áp tròng,37,41781
Đồ lót & đồ ngủ,27,40118
Áo nữ,30,94806
Áo nam,33,54937
Quần & váy,13,30531
Áo khoác & trang phục giữ ấm,30,74304
Đồng phục & trang phục biểu diễn,19,47321
Giày nữ,19,69387
Giày nam,4,10076
Giày thể thao,12,30346
Phụ kiện giày,12,23530
"Mũ, khăn & găng tay",61,41195
Túi xách & vali,30,59876
Trang sức,18,89810
Đồng hồ,18,41372
Nội thất phòng khách,46,97675
Nội thất phòng ngủ,54,73210
Nội thất phòng ăn,11,16900
Nội thất văn phòng & học tập,24,43159
Tủ & kệ lưu trữ,32,34365
Đồ trang trí nhà cửa,32,59678
Đèn & chiếu sáng,28,60012
"Rèm, thảm & vải gia dụng",37,42831
Chăn ga gối đệm,22,27068
Thiết bị phòng tắm,14,9332
Dụng cụ vệ sinh nhà cửa,40,60094
Dụng cụ nhà bếp,115,105796
"Nồi, chảo & đồ nấu ăn",28,45348
Bình nước & đồ uống,31,47180
Thiết bị lọc nước,6,12179
Điện lạnh & điều hòa,52,47019
Thiết bị gia dụng nhỏ,30,33004
Thiết bị điện tử gia đình,32,26221
Camera & nhiếp ảnh,37,24763
Âm thanh & nhạc cụ,72,66838
Điện thoại & phụ kiện,58,52380
Máy tính & phụ kiện,56,57461
Trò chơi điện tử,2,4440
Thiết bị mạng & an ninh,18,28348
Linh kiện & thiết bị điện,66,55521
Ô tô: phụ tùng & phụ kiện,134,141676
Xe đạp & xe điện,62,38379
Dụng cụ cầm tay,49,30483
Máy móc công nghiệp,22,16608
Vật liệu xây dựng,29,38509
Đồ dùng cho bé,46,40980
Sữa & thực phẩm cho bé,3,963
Quần áo trẻ em,16,13557
Đồ chơi giáo dục,16,48813
Đồ chơi mô hình & điều khiển,54,79778
Búp bê & đồ chơi nhập vai,7,5743
Đồ chơi ngoài trời,14,25557
Thể thao bóng,63,39756
Tập luyện & thể hình,41,42112
Cắm trại & dã ngoại,19,20896
Đồ bơi & thể thao nước,16,20034
Câu cá & săn bắn,14,17251
Thú cưng: thức ăn,6,16574
Thú cưng: chăm sóc,9,22642
"Gạo, mì & ngũ cốc",4,3249
"Thịt, cá & hải sản",33,32622
Đồ ăn vặt,47,86176
"Trà, cà phê & đồ uống",30,40237
Gia vị & thực phẩm khô,13,12188
Rượu vang & rượu mạnh,12,28334
Văn phòng phẩm,124,113018
"Sách, tạp chí & âm nhạc",11,2882
Đồ thủ công & mỹ thuật,23,34611
Thiết bị thương mại,23,32369
Đồ cưới & trang trí sự kiện,8,5631
Đồ dùng hút thuốc,9,10097
Bảo hộ lao động,5,5918
Phòng cháy chữa cháy,8,2998
Thiết bị đóng gói & in ấn,2,2955
Thiết bị nhà hàng & khách sạn,1,52
Thiết bị làm đẹp chuyên nghiệp,0,0
Linh kiện máy tính,10,8390
Thiết bị văn phòng,0,0
Đồ du lịch & phụ kiện,1,195
Nhiên liệu & phụ gia,5,3266
"Thẻ, mã nạp & tài khoản số",0,0
Thiết bị hàng hải & hàng không,1,194
Thiết bị truyền thông,2,1497
Đồ dùng quân sự & mô phỏng,5,3104
Dịch vụ & vé,11,2845
Quà tặng & đồ lưu niệm,12,16492
Đồ dùng tôn giáo & phong thủy,5,4654
Thiết bị xét nghiệm & phòng thí nghiệm,3,2033
Nông nghiệp & làm vườn,20,22966
"Đồng hồ, thiết bị đo lường",22,16778
Sưu tầm & đồ cổ,0,0
Khác / chưa xác định,3650,1972742
